"","City","Longitude","Latitude"
"323","moscow",-84.51,42.0494444
"324","moscow",-93.0980556,43.7072222
"325","moscow",-88.8,32.71
"326","moscow",-84.2291667,38.8569444
"327","moscow",-75.5188889,41.3366667
"328","moscow",-71.7419444,41.5227778
"329","moscow",-89.4038889,35.0619444
"330","moscow",-94.825,30.9130556
"331","moscow",-72.7158333,44.4413889
"332","moscow",-79.0891667,38.3169444
"333","moscow",-80.6325,40.5455556
"334","moscow",-89.855,42.8333333
"335","chennai",80.283333,13.083333
"336","bogota",-75.166667,3.03
"337","bogota",-81.35,13.333333
"338","bogota",-74.062827,4.649178
"339","bogota",-75.283333,10.4
"340","bogota",-9.4016667,6.8130556
"341","bogota",110.4,51.65
"342","bogota",-88.24,38.9183333
"343","bogota",-74.0302778,40.8761111
"344","bogota",-89.4383333,36.1638889
"345","bogota",-65.2888889,9.3444444
"346","jakarta",106.829444,-6.174444
"347","paris",-62.4833333,-13.55
"348","paris",-80.383333,43.2
"349","paris",-138.666667,63.816667
"350","paris",15.6405556,1.5527778
"351","paris",14.1688889,-4.2633333
"352","paris",2.333333,48.866667
"353","paris",5.737419,45.639725
"354","paris",10,-0.5666667
"355","paris",12.45,-1.2833333
"356","paris",-73.9166667,18.5
"357","paris",-72.35,19.7
"358","paris",-74.1666667,18.3
"359","paris",112.557,-7.5161
"360","paris",107.524444,-6.2525
"361","paris",106.3939,-6.9311
"362","paris",122.6434,0.7002
"363","paris",-92.283333,15.133333
"364","paris",-80.55,8.05
"365","paris",122.061507,11.300514
"366","paris",124.326111,6.943889
"367","paris",6.6833333,0.3333333
"368","paris",1.0833333,7.15
"369","paris",42.090833,37.773056
"370","paris",29.288889,46.055
"371","paris",-93.7297222,35.2919444
"372","paris",-118.18,34.4719444
"373","paris",-111.4002778,42.2272222
"374","paris",-87.6961111,39.6111111
"375","paris",-85.6338889,38.8241667
"376","paris",-91.5788889,42.2386111
"377","paris",-84.2530556,38.2097222
"378","paris",-70.5011111,44.2597222
"379","paris",-76.5830556,38.7025
"380","paris",-85.5025,43.7733333
"381","paris",-89.4597222,34.1786111
"382","paris",-92.0011111,39.4808333
"383","paris",-71.3213889,44.6511111
"384","paris",-75.3141667,43.0005556
"385","paris",-81.165,40.7975
"386","paris",-123.7694444,44.2527778
"387","paris",-80.5127778,40.4036111
